date,FCMYGBAG10D
2023-12-28,3.893
2023-12-29,3.958
2024-01-02,3.999
2024-01-03,4.048
2024-01-04,4.053
2024-01-05,4.136
2024-01-08,4.16
2024-01-09,4.106
2024-01-10,4.12
2024-01-11,4.109
2024-01-12,4.075
2024-01-15,4.08
2024-01-16,4.154
2024-01-17,4.213
2024-01-18,4.267
2024-01-19,4.296
2024-01-22,4.232
2024-01-23,4.193
2024-01-24,4.233
2024-01-25,4.247
2024-01-29,4.218
2024-01-30,4.144
2024-01-31,4.015
2024-02-01,4.016
2024-02-02,3.982
2024-02-05,4.099
2024-02-06,4.129
2024-02-07,4.091
2024-02-08,4.111
2024-02-09,4.13
2024-02-12,4.166
2024-02-13,4.175
2024-02-14,4.268
2024-02-15,4.14
2024-02-16,4.199
2024-02-19,4.174
2024-02-20,4.185
2024-02-21,4.175
2024-02-22,4.16
2024-02-23,4.201
2024-02-26,4.106
2024-02-27,4.136
2024-02-28,4.171
2024-02-29,4.141
2024-03-01,4.146
2024-03-04,4.106
2024-03-05,4.096
2024-03-06,4.012
2024-03-07,4.014
2024-03-08,3.978
2024-03-11,3.957
2024-03-12,3.951
2024-03-13,4.023
2024-03-14,4.062
2024-03-15,4.139
2024-03-18,4.116
2024-03-19,4.087
2024-03-20,4.056
2024-03-21,4.095
2024-03-22,4.041
2024-03-25,4.011
2024-03-26,4.031
2024-03-27,4.007
2024-03-28,3.968
2024-04-02,4.067
2024-04-03,4.136
2024-04-04,4.174
2024-04-05,4.095
2024-04-08,4.192
2024-04-09,4.168
2024-04-10,4.113
2024-04-11,4.251
2024-04-12,4.262
2024-04-15,4.257
2024-04-16,4.326
2024-04-17,4.379
2024-04-18,4.275
2024-04-19,4.251
2024-04-22,4.315
2024-04-23,4.266
2024-04-24,4.404
2024-04-26,4.518
2024-04-29,4.484
2024-04-30,4.42
2024-05-01,4.505
2024-05-02,4.445
2024-05-03,4.416
2024-05-06,4.377
2024-05-07,4.304
2024-05-08,4.29
2024-05-09,4.344
2024-05-10,4.319
2024-05-13,4.325
2024-05-14,4.325
2024-05-15,4.314
2024-05-16,4.185
2024-05-17,4.211
2024-05-20,4.236
2024-05-21,4.251
2024-05-22,4.285
2024-05-23,4.255
2024-05-24,4.308
2024-05-27,4.279
2024-05-28,4.259
2024-05-29,4.398
2024-05-30,4.433
2024-05-31,4.408
2024-06-03,4.368
2024-06-04,4.304
2024-06-05,4.245
2024-06-06,4.225
2024-06-07,4.22
2024-06-11,4.324
2024-06-12,4.279
2024-06-13,4.19
2024-06-14,4.124
2024-06-17,4.112
2024-06-18,4.155
2024-06-19,4.181
2024-06-20,4.205
2024-06-21,4.213
2024-06-24,4.218
2024-06-25,4.203
2024-06-26,4.313
2024-06-27,4.411
2024-06-28,4.312
2024-07-01,4.385
2024-07-02,4.41
2024-07-03,4.43
2024-07-04,4.416
2024-07-05,4.405
2024-07-08,4.362
2024-07-09,4.348
2024-07-10,4.348
2024-07-11,4.377
2024-07-12,4.328
2024-07-15,4.328
2024-07-16,4.255
2024-07-17,4.26
2024-07-18,4.244
2024-07-19,4.289
2024-07-22,4.313
2024-07-23,4.354
2024-07-24,4.333
2024-07-25,4.318
2024-07-26,4.313
2024-07-29,4.279
2024-07-30,4.284
2024-07-31,4.12
2024-08-01,4.092
2024-08-02,4.056
2024-08-05,3.983
2024-08-06,4.026
2024-08-07,4.087
2024-08-08,4.076
2024-08-09,4.065
2024-08-12,4.056
2024-08-13,4.012
2024-08-14,3.938
2024-08-15,3.882
2024-08-16,3.937
2024-08-19,3.922
2024-08-20,3.957
2024-08-21,3.898
2024-08-22,3.892
2024-08-23,3.927
2024-08-26,3.863
2024-08-27,3.917
2024-08-28,3.937
2024-08-29,3.961
2024-08-30,3.976
2024-09-02,4.021
2024-09-03,4.011
2024-09-04,3.961
2024-09-05,3.936
2024-09-06,3.89
2024-09-09,3.966
2024-09-10,3.918
2024-09-11,3.859
2024-09-12,3.863
2024-09-13,3.827
2024-09-16,3.823
2024-09-17,3.843
2024-09-18,3.872
2024-09-19,3.939
2024-09-20,3.93
2024-09-23,3.968
2024-09-24,3.9
2024-09-25,3.919
2024-09-26,3.952
2024-09-27,3.972
2024-09-30,3.987
2024-10-01,3.996
2024-10-02,3.941
2024-10-03,4.0
2024-10-04,4.063
2024-10-08,4.155
2024-10-09,4.181
2024-10-10,4.215
2024-10-11,4.22
2024-10-14,4.264
2024-10-15,4.244
2024-10-16,4.196
2024-10-17,4.239
2024-10-18,4.298
2024-10-21,4.264
2024-10-22,4.423
2024-10-23,4.457
2024-10-24,4.442
2024-10-25,4.403
2024-10-28,4.472
2024-10-29,4.438
2024-10-30,4.458
2024-10-31,4.496
2024-11-01,4.531
2024-11-04,4.552
2024-11-05,4.556
2024-11-06,4.62
2024-11-07,4.631
2024-11-08,4.571
2024-11-11,4.571
2024-11-12,4.557
2024-11-13,4.661
2024-11-14,4.691
2024-11-15,4.631
2024-11-18,4.597
2024-11-19,4.558
2024-11-20,4.552
2024-11-21,4.573
2024-11-22,4.539
2024-11-25,4.48
2024-11-26,4.441
2024-11-27,4.412
2024-11-28,4.356
2024-11-29,4.335
2024-12-02,4.331
2024-12-03,4.301
2024-12-04,4.261
2024-12-05,4.231
2024-12-06,4.217
2024-12-09,4.197
2024-12-10,4.135
2024-12-11,4.184
2024-12-12,4.263
2024-12-13,4.289
2024-12-16,4.317
2024-12-17,4.294
2024-12-18,4.279
2024-12-19,4.411
2024-12-20,4.494
2024-12-23,4.405
2024-12-24,4.44
2024-12-27,4.38
2024-12-30,4.46
2024-12-31,4.366
2025-01-02,4.435
2025-01-03,4.384
2025-01-06,4.47
2025-01-07,4.479
2025-01-08,4.502
2025-01-09,4.487
2025-01-10,4.547
2025-01-13,4.636
2025-01-14,4.616
2025-01-15,4.626
2025-01-16,4.498
2025-01-17,4.498
2025-01-20,4.482
2025-01-21,4.409
2025-01-22,4.464
2025-01-23,4.474
2025-01-24,4.48
2025-01-28,4.427
2025-01-29,4.375
2025-01-30,4.385
2025-01-31,4.435
2025-02-03,4.386
2025-02-04,4.421
2025-02-05,4.363
2025-02-06,4.324
2025-02-07,4.364
2025-02-10,4.409
2025-02-11,4.395
2025-02-12,4.469
2025-02-13,4.479
2025-02-14,4.424
2025-02-17,4.46
2025-02-18,4.514
2025-02-19,4.534
2025-02-20,4.534
2025-02-21,4.52
2025-02-24,4.446
2025-02-25,4.407
2025-02-26,4.372
2025-02-27,4.348
2025-02-28,4.303
2025-03-03,4.338
2025-03-04,4.278
2025-03-05,4.363
2025-03-06,4.492
2025-03-07,4.413
2025-03-10,4.449
2025-03-11,4.389
2025-03-12,4.449
2025-03-13,4.43
2025-03-14,4.434
2025-03-17,4.422
2025-03-18,4.413
2025-03-19,4.434
2025-03-20,4.389
2025-03-21,4.409
2025-03-24,4.415
2025-03-25,4.439
2025-03-26,4.493
2025-03-27,4.523
2025-03-28,4.478
2025-03-31,4.402
2025-04-01,4.391
2025-04-02,4.397
2025-04-03,4.242
2025-04-04,4.199
2025-04-07,4.081
2025-04-08,4.222
2025-04-09,4.376
2025-04-10,4.312
2025-04-11,4.377
2025-04-14,4.381
2025-04-15,4.332
2025-04-16,4.323
2025-04-17,4.264
2025-04-22,4.241
2025-04-23,4.247
2025-04-24,4.217
2025-04-28,4.153
2025-04-29,4.174
2025-04-30,4.148
2025-05-01,4.173
2025-05-02,4.203
2025-05-05,4.254
2025-05-06,4.319
2025-05-07,4.264
2025-05-08,4.223
2025-05-09,4.273
2025-05-12,4.347
2025-05-13,4.417
2025-05-14,4.467
2025-05-15,4.521
2025-05-16,4.443
2025-05-19,4.513
2025-05-20,4.389
2025-05-21,4.439
2025-05-22,4.445
2025-05-23,4.41
2025-05-26,4.371
2025-05-27,4.302
2025-05-28,4.321
2025-05-29,4.362
2025-05-30,4.249
2025-06-02,4.259
2025-06-03,4.25
2025-06-04,4.241
2025-06-05,4.241
2025-06-06,4.261
2025-06-10,4.243
2025-06-11,4.279
2025-06-12,4.233
2025-06-13,4.151
2025-06-16,4.228
2025-06-17,4.253
2025-06-18,4.248
2025-06-19,4.214
2025-06-20,4.18
2025-06-23,4.216
2025-06-24,4.152
2025-06-25,4.118
2025-06-26,4.103
2025-06-27,4.128
2025-06-30,4.161
2025-07-01,4.116
2025-07-02,4.151
2025-07-03,4.181
2025-07-04,4.191
2025-07-07,4.182
2025-07-08,4.263
2025-07-09,4.342
2025-07-10,4.284
2025-07-11,4.327
2025-07-14,4.371
2025-07-15,4.38
2025-07-16,4.4
2025-07-17,4.347
2025-07-18,4.338
2025-07-21,4.323
2025-07-22,4.306
2025-07-23,4.297
2025-07-24,4.356
2025-07-25,4.346
2025-07-28,4.34
2025-07-29,4.33
2025-07-30,4.257
2025-07-31,4.262
2025-08-01,4.317
2025-08-04,4.293
2025-08-05,4.228
2025-08-06,4.258
2025-08-07,4.244
2025-08-08,4.25
2025-08-11,4.25
2025-08-12,4.244
2025-08-13,4.226
2025-08-14,4.212
2025-08-15,4.232
2025-08-18,4.272
2025-08-19,4.331
2025-08-20,4.302
2025-08-21,4.283
2025-08-22,4.318
2025-08-25,4.289
2025-08-26,4.319
2025-08-27,4.329
2025-08-28,4.291
2025-08-29,4.28
2025-09-01,4.325
2025-09-02,4.364
2025-09-03,4.424
2025-09-04,4.36
2025-09-05,4.345
2025-09-08,4.286
2025-09-09,4.272
2025-09-10,4.278
2025-09-11,4.24
2025-09-12,4.224
2025-09-15,4.281
2025-09-16,4.227
2025-09-17,4.229
2025-09-18,4.201
2025-09-19,4.249
2025-09-22,4.278
2025-09-23,4.273
2025-09-24,4.297
2025-09-25,4.356
2025-09-26,4.394
2025-09-29,4.342
2025-09-30,4.307
2025-10-01,4.357
2025-10-02,4.328
2025-10-03,4.323
2025-10-07,4.378
2025-10-08,4.354
2025-10-09,4.339
2025-10-10,4.354
2025-10-13,4.282
2025-10-14,4.224
2025-10-15,4.206
2025-10-16,4.143
2025-10-17,4.091
2025-10-20,4.145
2025-10-21,4.11
2025-10-22,4.106
2025-10-23,4.116
2025-10-24,4.135
2025-10-27,4.175
2025-10-28,4.166
2025-10-29,4.216
2025-10-30,4.3
2025-10-31,4.29
2025-11-03,4.33
2025-11-04,4.345
2025-11-05,4.306
2025-11-06,4.36
2025-11-07,4.346
2025-11-10,4.391
2025-11-11,4.386
2025-11-12,4.376
2025-11-13,4.416
2025-11-14,4.436
2025-11-17,4.47
2025-11-18,4.436
2025-11-19,4.412
2025-11-20,4.461
2025-11-21,4.458
2025-11-24,4.439
2025-11-25,4.424
2025-11-26,4.525
2025-11-27,4.49
2025-11-28,4.511
2025-12-01,4.552
2025-12-02,4.611
2025-12-03,4.641
2025-12-04,4.699
2025-12-05,4.681
2025-12-08,4.703
2025-12-09,4.757
2025-12-10,4.808
2025-12-11,4.719
2025-12-12,4.728
2025-12-15,4.725
2025-12-16,4.726
2025-12-17,4.745
2025-12-18,4.741
2025-12-19,4.747
2025-12-22,4.792
2025-12-23,4.753
2025-12-24,4.738
2025-12-29,4.754
2025-12-30,4.744
2025-12-31,4.74
2026-01-02,4.82
2026-01-05,4.78
2026-01-06,4.775
2026-01-07,4.74
2026-01-08,4.649
2026-01-09,4.669
2026-01-12,4.685
2026-01-13,4.69
2026-01-14,4.7
2026-01-15,4.666
2026-01-16,4.692
2026-01-19,4.727
2026-01-20,4.767
2026-01-21,4.77
2026-01-22,4.787
2026-01-23,4.808
2026-01-27,4.836
2026-01-28,4.807
2026-01-29,4.827
2026-01-30,4.799
2026-02-02,4.789
2026-02-03,4.826
2026-02-04,4.858
2026-02-05,4.848
2026-02-06,4.819
2026-02-09,4.86
2026-02-10,4.821
2026-02-11,4.749
2026-02-12,4.799
2026-02-13,4.741
2026-02-16,4.702
2026-02-17,4.678
2026-02-18,4.717
2026-02-19,4.777
2026-02-20,4.723
2026-02-23,4.713
2026-02-24,4.69
2026-02-25,4.715
2026-02-26,4.696
2026-02-27,4.646
2026-03-02,4.628
2026-03-03,4.767
2026-03-04,4.743
2026-03-05,4.794
2026-03-06,4.839
2026-03-09,4.934
2026-03-10,4.846
2026-03-11,4.847
2026-03-12,4.951
2026-03-13,4.949
2026-03-16,4.999
2026-03-17,4.937
2026-03-18,4.894
2026-03-19,4.973
2026-03-20,5.022
2026-03-23,5.116
2026-03-24,5.042
2026-03-25,4.954
2026-03-26,5.01
2026-03-27,5.094
2026-03-30,5.069
2026-03-31,4.972
2026-04-01,4.908
2026-04-02,5.038
2026-04-07,4.985
2026-04-08,4.858
2026-04-09,4.911
2026-04-10,4.967
2026-04-13,5.018
2026-04-14,4.949
2026-04-15,4.931
2026-04-16,4.956
2026-04-17,4.996
2026-04-20,4.937
2026-04-21,4.909
2026-04-22,4.958
2026-04-23,5.001
2026-04-24,4.977
2026-04-27,4.99
2026-04-28,5.028
2026-04-29,4.997
2026-04-30,5.067
2026-05-01,5.022
2026-05-04,4.984
2026-05-05,4.974
2026-05-06,4.956
2026-05-07,4.926
2026-05-08,4.991
2026-05-11,4.996
2026-05-12,5.036
2026-05-13,5.066
2026-05-14,5.022
2026-05-15,5.077
2026-05-18,5.118
2026-05-19,5.064
2026-05-20,5.074
2026-05-21,4.971
2026-05-22,4.93
2026-05-25,4.887
2026-05-26,4.917
2026-05-27,4.863
2026-05-28,4.904
2026-05-29,4.838
2026-06-01,4.889
2026-06-02,4.889
2026-06-03,4.919
2026-06-04,4.925
2026-06-05,4.916
2026-06-09,4.927
2026-06-10,4.897
2026-06-11,4.903
2026-06-12,4.82
2026-06-15,4.815
2026-06-16,4.835
2026-06-17,4.776
2026-06-18,4.78
2026-06-19,4.82
2026-06-22,4.821
2026-06-23,4.782
2026-06-24,4.772
2026-06-25,4.739
2026-06-26,4.729
2026-06-29,4.759
2026-06-30,4.734
2026-07-01,4.798
2026-07-02,4.832
2026-07-03,4.808
2026-07-06,4.798
2026-07-07,4.833
2026-07-08,4.893
2026-07-09,4.887
2026-07-10,4.848
2026-07-13,4.873
2026-07-14,4.923
2026-07-15,4.913
2026-07-16,4.909
2026-07-17,4.914
2026-07-20,4.974
2026-07-21,4.955
2026-07-22,4.989
2026-07-23,5.004
2026-07-24,5.1
2026-07-27,5.012
2026-07-28,4.977
2026-07-29,4.933
2026-07-30,5.011
2026-07-31,4.943
2026-08-03,4.964
2026-08-04,4.988
2026-08-05,4.924
2026-08-06,4.939
2026-08-07,4.999
2026-08-10,4.984
2026-08-11,5.024
2026-08-12,5.013
2026-08-13,4.98
2026-08-14,4.995
2026-08-17,5.031
2026-08-18,5.087
2026-08-19,5.047
2026-08-20,4.997
2026-08-21,5.048
2026-08-24,5.008
2026-08-25,5.013
2026-08-26,5.023
2026-08-27,5.083
2026-08-28,5.088
2026-08-31,5.084
2026-09-01,5.169
2026-09-02,5.22
