auction,settlement,weeks,maturity,isin,bid,served,btc,nct,total,wa_rate
2015-03-02,2015-03-04,13,2015-06-03,FR0122775390,11325,3599,3.15,390,3989,-0.00121
2015-03-02,2015-03-04,22,2015-08-05,FR0122775432,5600,1915,2.92,179,2094,-0.00121
2015-03-02,2015-03-04,48,2016-02-03,FR0122775465,6080,1894,3.21,99,1993,-0.00133
2015-03-09,2015-03-11,12,2015-06-03,FR0122775390,11750,3584,3.28,588,4172,-0.00131
2015-03-09,2015-03-11,21,2015-08-05,FR0122775432,6495,1395,4.66,199,1594,-0.00131
2015-03-09,2015-03-11,51,2016-03-02,FR0122775473,6129,1809,3.39,276,2085,-0.0014
2015-03-16,2015-03-18,13,2015-06-17,FR0122775408,9710,3597,2.7,282,3879,-0.00167
2015-03-16,2015-03-18,20,2015-08-05,FR0122775432,5519,1594,3.46,0,1594,-0.00168
2015-03-16,2015-03-18,50,2016-03-02,FR0122775473,4461,1493,2.99,0,1493,-0.00159
2015-03-23,2015-03-25,12,2015-06-17,FR0122775408,8340,4095,2.04,0,4095,-0.00184
2015-03-23,2015-03-25,19,2015-08-05,FR0122775432,5060,1210,4.18,0,1210,-0.00182
2015-03-23,2015-03-25,49,2016-03-02,FR0122775473,5275,1160,4.55,0,1160,-0.00166
2015-03-30,2015-04-01,13,2015-07-01,FR0122775416,6850,3697,1.85,413,4110,-0.00154
2015-03-30,2015-04-01,18,2015-08-05,FR0122775432,3735,1290,2.9,125,1415,-0.00153
2015-03-30,2015-04-01,48,2016-03-02,FR0122775473,4904,1314,3.73,164,1478,-0.0016
2015-04-07,2015-04-09,12,2015-07-01,FR0122775416,9735,3196,3.05,487,3683,-0.00175
2015-04-07,2015-04-09,25,2015-09-30,FR0122945902,6350,1595,3.98,351,1946,-0.00174
2015-04-07,2015-04-09,51,2016-03-31,FR0122945936,5720,1599,3.58,337,1936,-0.00172
2015-04-13,2015-04-15,13,2015-07-15,FR0122945845,11795,3395,3.47,125,3520,-0.00189
2015-04-13,2015-04-15,24,2015-09-30,FR0122945902,6020,1275,4.72,60,1335,-0.00196
2015-04-13,2015-04-15,50,2016-03-31,FR0122945936,5600,1395,4.01,141,1536,-0.00196
2015-04-20,2015-04-22,12,2015-07-15,FR0122945845,10854,2693,4.03,0,2693,-0.00188
2015-04-20,2015-04-22,23,2015-09-30,FR0122945902,5660,1594,3.55,25,1619,-0.00187
2015-04-20,2015-04-22,49,2016-03-31,FR0122945936,5244,1505,3.48,0,1505,-0.0019
2015-04-27,2015-04-29,13,2015-07-29,FR0122945852,11375,3094,3.68,21,3115,-0.00189
2015-04-27,2015-04-29,22,2015-09-30,FR0122945902,6647,1491,4.46,143,1634,-0.00189
2015-04-27,2015-04-29,48,2016-03-31,FR0122945936,6454,1595,4.05,152,1747,-0.0019
2015-05-04,2015-05-06,12,2015-07-29,FR0122945852,9735,2994,3.25,99,3093,-0.00186
2015-05-04,2015-05-06,21,2015-09-30,FR0122945902,4700,1594,2.95,39,1633,-0.00181
2015-05-04,2015-05-06,51,2016-04-27,FR0122945944,4595,1695,2.71,49,1744,-0.00181
2015-05-11,2015-05-13,13,2015-08-12,FR0122945860,10925,2625,4.16,49,2674,-0.0018
2015-05-11,2015-05-13,24,2015-10-28,FR0122945910,5935,1694,3.5,0,1694,-0.00177
2015-05-11,2015-05-13,50,2016-04-27,FR0122945944,4990,1265,3.94,0,1265,-0.00176
2015-05-18,2015-05-20,12,2015-08-12,FR0122945860,11300,2990,3.78,454,3444,-0.00181
2015-05-18,2015-05-20,23,2015-10-28,FR0122945910,6485,1597,4.06,205,1802,-0.00175
2015-05-18,2015-05-20,49,2016-04-27,FR0122945944,5460,1389,3.93,112,1501,-0.00175
2015-05-26,2015-05-28,13,2015-08-26,FR0122945878,11340,3092,3.67,90,3182,-0.00193
2015-05-26,2015-05-28,22,2015-10-28,FR0122945910,5525,1598,3.46,100,1698,-0.00189
2015-05-26,2015-05-28,48,2016-04-27,FR0122945944,5040,1275,3.95,91,1366,-0.00186
2015-06-01,2015-06-03,12,2015-08-26,FR0122945878,11133,2992,3.72,0,2992,-0.00197
2015-06-01,2015-06-03,21,2015-10-28,FR0122945910,5466,1494,3.66,0,1494,-0.00192
2015-06-01,2015-06-03,51,2016-05-25,FR0122945951,6133,1145,5.36,0,1145,-0.0019
2015-06-08,2015-06-10,13,2015-09-09,FR0122945886,11168,3794,2.94,0,3794,-0.00192
2015-06-08,2015-06-10,20,2015-10-28,FR0122945910,3715,1393,2.67,0,1393,-0.00182
2015-06-08,2015-06-10,50,2016-05-25,FR0122945951,4315,1590,2.71,0,1590,-0.00179
2015-06-15,2015-06-17,12,2015-09-09,FR0122945886,7710,3593,2.15,0,3593,-0.00185
2015-06-15,2015-06-17,23,2015-11-25,FR0122945928,3800,1794,2.12,0,1794,-0.0018
2015-06-15,2015-06-17,49,2016-05-25,FR0122945951,3455,1225,2.82,0,1225,-0.00171
2015-06-22,2015-06-24,13,2015-09-23,FR0122945894,9400,3994,2.35,406,4400,-0.00183
2015-06-22,2015-06-24,22,2015-11-25,FR0122945928,3675,1300,2.83,26,1326,-0.00171
2015-06-22,2015-06-24,48,2016-05-25,FR0122945951,3485,935,3.73,0,935,-0.00161
2015-06-29,2015-07-01,12,2015-09-23,FR0122945894,7905,3897,2.03,0,3897,-0.00193
2015-06-29,2015-07-01,21,2015-11-25,FR0122945928,3935,1094,3.6,0,1094,-0.00184
2015-06-29,2015-07-01,51,2016-06-22,FR0122945969,3275,1325,2.47,0,1325,-0.00168
2015-07-06,2015-07-08,13,2015-10-07,FR0123120075,9950,3991,2.49,194,4185,-0.00195
2015-07-06,2015-07-08,20,2015-11-25,FR0122945928,2845,1245,2.29,43,1288,-0.00184
2015-07-06,2015-07-08,50,2016-06-22,FR0122945969,3360,1399,2.4,150,1549,-0.00177
2015-07-13,2015-07-15,12,2015-10-07,FR0123120075,9540,3992,2.39,197,4189,-0.00201
2015-07-13,2015-07-15,23,2015-12-23,FR0123120141,3995,1492,2.68,40,1532,-0.00188
2015-07-13,2015-07-15,49,2016-06-22,FR0122945969,3815,1497,2.55,80,1577,-0.00175
2015-07-20,2015-07-22,13,2015-10-21,FR0123120083,8975,4396,2.04,0,4396,-0.00211
2015-07-20,2015-07-22,22,2015-12-23,FR0123120141,5330,1594,3.34,70,1664,-0.00207
2015-07-20,2015-07-22,48,2016-06-22,FR0122945969,5535,1050,5.27,38,1088,-0.0019
2015-07-27,2015-07-29,12,2015-10-21,FR0123120083,9260,3791,2.44,0,3791,-0.00198
2015-07-27,2015-07-29,21,2015-12-23,FR0123120141,4345,1591,2.73,0,1591,-0.00196
2015-07-27,2015-07-29,47,2016-06-22,FR0122945969,4495,1150,3.91,76,1226,-0.0019
2015-08-03,2015-08-05,13,2015-11-04,FR0123120091,9420,3894,2.42,129,4023,-0.00203
2015-08-03,2015-08-05,20,2015-12-23,FR0123120141,4575,1394,3.28,15,1409,-0.00201
2015-08-03,2015-08-05,50,2016-07-20,FR0123120174,5175,1494,3.46,57,1551,-0.00202
2015-08-10,2015-08-12,12,2015-11-04,FR0123120091,9730,3793,2.57,0,3793,-0.00203
2015-08-10,2015-08-12,23,2016-01-20,FR0123120158,4210,1692,2.49,0,1692,-0.00201
2015-08-10,2015-08-12,49,2016-07-20,FR0123120174,4145,1593,2.6,0,1593,-0.00201
2015-08-17,2015-08-19,13,2015-11-18,FR0123120109,11250,3887,2.89,0,3887,-0.00208
2015-08-17,2015-08-19,22,2016-01-20,FR0123120158,4890,1197,4.09,25,1222,-0.00201
2015-08-17,2015-08-19,48,2016-07-20,FR0123120174,4625,1296,3.57,0,1296,-0.002
2015-08-24,2015-08-26,12,2015-11-18,FR0123120109,8140,4197,1.94,0,4197,-0.00218
2015-08-24,2015-08-26,21,2016-01-20,FR0123120158,4805,1093,4.4,46,1139,-0.00211
2015-08-24,2015-08-26,43,2016-06-22,FR0122945969,1933,497,3.89,0,497,-0.00215
2015-08-24,2015-08-26,47,2016-07-20,FR0123120174,3525,892,3.95,0,892,-0.00201
2015-08-31,2015-09-02,13,2015-12-02,FR0123120117,7450,3400,2.19,0,3400,-0.00207
2015-08-31,2015-09-02,20,2016-01-20,FR0123120158,3855,1597,2.41,0,1597,-0.00207
2015-08-31,2015-09-02,50,2016-08-18,FR0123120182,2855,1292,2.21,0,1292,-0.00194
2015-09-07,2015-09-09,12,2015-12-02,FR0123120117,8175,3693,2.21,0,3693,-0.00205
2015-09-07,2015-09-09,23,2016-02-17,FR0123120166,4600,1494,3.08,44,1538,-0.00194
2015-09-07,2015-09-09,49,2016-08-18,FR0123120182,4085,995,4.11,30,1025,-0.00187
2015-09-14,2015-09-16,13,2015-12-16,FR0123120125,8900,3317,2.68,0,3317,-0.00198
2015-09-14,2015-09-16,22,2016-02-17,FR0123120166,4405,1193,3.69,109,1302,-0.00194
2015-09-14,2015-09-16,48,2016-08-18,FR0123120182,5592,1493,3.75,0,1493,-0.00188
2015-09-21,2015-09-23,12,2015-12-16,FR0123120125,10000,3393,2.95,468,3861,-0.00196
2015-09-21,2015-09-23,21,2016-02-17,FR0123120166,4805,1796,2.68,228,2024,-0.002
2015-09-21,2015-09-23,47,2016-08-18,FR0123120182,5390,1796,3,256,2052,-0.00186
2015-09-28,2015-09-30,13,2015-12-30,FR0123120133,8350,3992,2.09,0,3992,-0.00202
2015-09-28,2015-09-30,20,2016-02-17,FR0123120166,3825,1197,3.2,36,1233,-0.00203
2015-09-28,2015-09-30,50,2016-09-14,FR0123120190,4455,1787,2.49,29,1816,-0.0019
2015-10-05,2015-10-07,12,2015-12-30,FR0123120133,9500,4000,2.38,0,4000,-0.00206
2015-10-05,2015-10-07,23,2016-03-16,FR0123283733,6055,1698,3.57,87,1785,-0.00207
2015-10-05,2015-10-07,49,2016-09-14,FR0123120190,5800,1794,3.23,0,1794,-0.00198
2015-10-12,2015-10-14,13,2016-01-13,FR0123283675,8800,3794,2.32,0,3794,-0.00204
2015-10-12,2015-10-14,22,2016-03-16,FR0123283733,6735,1893,3.56,39,1932,-0.00202
2015-10-12,2015-10-14,48,2016-09-14,FR0123120190,6430,1889,3.4,56,1945,-0.00197
2015-10-19,2015-10-21,12,2016-01-13,FR0123283675,9315,3793,2.46,0,3793,-0.00208
2015-10-19,2015-10-21,21,2016-03-16,FR0123283733,6215,1788,3.48,0,1788,-0.00207
2015-10-19,2015-10-21,51,2016-10-12,FR0123283774,6365,1992,3.2,0,1992,-0.00209
2015-10-26,2015-10-28,13,2016-01-27,FR0123283683,9600,4087,2.35,346,4433,-0.00254
2015-10-26,2015-10-28,20,2016-03-16,FR0123283733,4580,1698,2.7,264,1962,-0.00252
2015-10-26,2015-10-28,50,2016-10-12,FR0123283774,5005,1792,2.79,328,2120,-0.00257
2015-11-02,2015-11-04,12,2016-01-27,FR0123283683,9200,3925,2.34,35,3960,-0.00261
2015-11-02,2015-11-04,23,2016-04-13,FR0123283741,4700,1689,2.78,128,1817,-0.00256
2015-11-02,2015-11-04,49,2016-10-12,FR0123283774,4505,1691,2.66,120,1811,-0.00257
2015-11-09,2015-11-11,13,2016-02-10,FR0123283691,8750,3496,2.5,465,3961,-0.00254
2015-11-09,2015-11-11,22,2016-04-13,FR0123283741,4880,1698,2.87,237,1935,-0.00256
2015-11-09,2015-11-11,48,2016-10-12,FR0123283774,5630,1792,3.14,334,2126,-0.00259
2015-11-16,2015-11-18,12,2016-02-10,FR0123283691,9950,3791,2.62,103,3894,-0.00288
2015-11-16,2015-11-18,21,2016-04-13,FR0123283741,5430,1291,4.21,247,1538,-0.00278
2015-11-16,2015-11-18,51,2016-11-09,FR0123283782,5265,1793,2.94,243,2036,-0.00294
2015-11-23,2015-11-25,13,2016-02-24,FR0123283709,11000,4193,2.62,63,4256,-0.00322
2015-11-23,2015-11-25,20,2016-04-13,FR0123283741,4940,1693,2.92,36,1729,-0.00318
2015-11-23,2015-11-25,50,2016-11-09,FR0123283782,4825,1875,2.57,40,1915,-0.00321
2015-11-30,2015-12-02,12,2016-02-24,FR0123283709,7925,3996,1.98,198,4194,-0.00347
2015-11-30,2015-12-02,23,2016-05-11,FR0123283758,5475,1795,3.05,202,1997,-0.00354
2015-11-30,2015-12-02,49,2016-11-09,FR0123283782,4075,1593,2.56,0,1593,-0.00358
2015-12-07,2015-12-09,8,2016-02-03,FR0122775465,1448,469,3.09,40,509,-0.00339
2015-12-07,2015-12-09,13,2016-03-09,FR0123283717,8300,3693,2.25,211,3904,-0.00291
2015-12-07,2015-12-09,22,2016-05-11,FR0123283758,4250,1793,2.37,216,2009,-0.00286
2015-12-07,2015-12-09,48,2016-11-09,FR0123283782,4330,1440,3.01,177,1617,-0.00283
2015-12-14,2015-12-16,12,2016-03-09,FR0123283717,9225,3693,2.5,646,4339,-0.00328
2015-12-14,2015-12-16,21,2016-05-11,FR0123283758,4475,1696,2.64,316,2012,-0.00317
2015-12-14,2015-12-16,51,2016-12-07,FR0123283790,3730,1596,2.34,0,1596,-0.00314
2016-01-04,2016-01-06,13,2016-04-06,FR0123447957,7500,3995,1.88,0,3995,-0.00437
2016-01-04,2016-01-06,22,2016-06-08,FR0123283766,5909,1993,2.96,179,2172,-0.00397
2016-01-04,2016-01-06,48,2016-12-07,FR0123283790,3210,1994,1.61,0,1994,-0.00385
2016-01-11,2016-01-13,12,2016-04-06,FR0123447957,9320,3294,2.83,0,3294,-0.00399
2016-01-11,2016-01-13,21,2016-06-08,FR0123283766,5125,1690,3.03,0,1690,-0.00399
2016-01-11,2016-01-13,51,2017-01-04,FR0123448054,4920,1794,2.74,0,1794,-0.00377
2016-01-18,2016-01-20,13,2016-04-20,FR0123447965,8425,3325,2.53,0,3325,-0.00376
2016-01-18,2016-01-20,20,2016-06-08,FR0123283766,4500,1592,2.83,0,1592,-0.00382
2016-01-18,2016-01-20,50,2017-01-04,FR0123448054,3255,1594,2.04,0,1594,-0.00366
2016-01-25,2016-01-27,12,2016-04-20,FR0123447965,6525,3015,2.16,41,3056,-0.00359
2016-01-25,2016-01-27,23,2016-07-06,FR0123448021,4350,1586,2.74,0,1586,-0.00365
2016-01-25,2016-01-27,49,2017-01-04,FR0123448054,4855,1794,2.71,30,1824,-0.00376
2016-02-01,2016-02-03,12,2016-04-27,FR0122945944,1206,481,2.51,0,481,-0.0042
2016-02-01,2016-02-03,13,2016-05-04,FR0123447973,6550,2995,2.19,0,2995,-0.00365
2016-02-01,2016-02-03,22,2016-07-06,FR0123448021,3573,1393,2.56,0,1393,-0.00372
2016-02-01,2016-02-03,48,2017-01-04,FR0123448054,4380,1792,2.44,86,1878,-0.00397
2016-02-08,2016-02-10,12,2016-05-04,FR0123447973,6750,3291,2.05,0,3291,-0.00359
2016-02-08,2016-02-10,21,2016-07-06,FR0123448021,4160,1495,2.78,191,1686,-0.00376
2016-02-08,2016-02-10,51,2017-02-01,FR0123448062,5725,1995,2.87,0,1995,-0.00426
2016-02-15,2016-02-17,13,2016-05-19,FR0123447981,8095,3496,2.32,0,3496,-0.00371
2016-02-15,2016-02-17,20,2016-07-06,FR0123448021,5155,1594,3.23,107,1701,-0.00375
2016-02-15,2016-02-17,50,2017-02-01,FR0123448062,3645,1515,2.41,101,1616,-0.00401
2016-02-22,2016-02-24,12,2016-05-19,FR0123447981,7825,3489,2.24,317,3806,-0.00387
2016-02-22,2016-02-24,23,2016-08-03,FR0123448039,5980,1794,3.33,220,2014,-0.00391
2016-02-22,2016-02-24,49,2017-02-01,FR0123448062,3625,1193,3.04,53,1246,-0.00399
2016-02-29,2016-03-02,13,2016-06-01,FR0123447999,8070,3595,2.24,514,4109,-0.00423
2016-02-29,2016-03-02,22,2016-08-03,FR0123448039,3545,1410,2.51,109,1519,-0.00432
2016-02-29,2016-03-02,48,2017-02-01,FR0123448062,3685,1589,2.32,300,1889,-0.00435
2016-03-07,2016-03-09,12,2016-06-01,FR0123447999,7205,3492,2.06,0,3492,-0.00433
2016-03-07,2016-03-09,21,2016-08-03,FR0123448039,4265,1395,3.06,0,1395,-0.00438
2016-03-07,2016-03-09,51,2017-03-01,FR0123448070,3755,1694,2.22,0,1694,-0.00453
2016-03-14,2016-03-16,13,2016-06-15,FR0123448005,7320,3695,1.98,0,3695,-0.00425
2016-03-14,2016-03-16,20,2016-08-03,FR0123448039,5979,1495,4,115,1610,-0.00419
2016-03-14,2016-03-16,50,2017-03-01,FR0123448070,3785,1595,2.37,99,1694,-0.00418
2016-03-21,2016-03-23,12,2016-06-15,FR0123448005,8425,3397,2.48,0,3397,-0.00431
2016-03-21,2016-03-23,23,2016-08-31,FR0123448047,4380,1595,2.75,0,1595,-0.00434
2016-03-21,2016-03-23,49,2017-03-01,FR0123448070,4395,1594,2.76,104,1698,-0.00427
2016-03-29,2016-03-31,13,2016-06-29,FR0123448013,7960,3494,2.28,367,3861,-0.00425
2016-03-29,2016-03-31,22,2016-08-31,FR0123448047,3165,1395,2.27,141,1536,-0.00423
2016-03-29,2016-03-31,48,2017-03-01,FR0123448070,3430,1280,2.68,0,1280,-0.00431
2016-04-04,2016-04-06,12,2016-06-29,FR0123448013,7860,3599,2.18,116,3715,-0.00432
2016-04-04,2016-04-06,21,2016-08-31,FR0123448047,5210,1596,3.26,135,1731,-0.00431
2016-04-04,2016-04-06,51,2017-03-29,FR0123611396,4450,1795,2.48,173,1968,-0.00424
2016-04-11,2016-04-13,13,2016-07-13,FR0123611305,9718,3692,2.63,205,3897,-0.00438
2016-04-11,2016-04-13,20,2016-08-31,FR0123448047,4235,1597,2.65,45,1642,-0.00441
2016-04-11,2016-04-13,50,2017-03-29,FR0123611396,5260,1296,4.06,23,1319,-0.00439
2016-04-18,2016-04-20,12,2016-07-13,FR0123611305,7025,3393,2.07,0,3393,-0.00501
2016-04-18,2016-04-20,23,2016-09-28,FR0123611362,4410,1695,2.6,0,1695,-0.00493
2016-04-18,2016-04-20,49,2017-03-29,FR0123611396,4440,1388,3.2,0,1388,-0.00468
2016-04-25,2016-04-27,13,2016-07-27,FR0123611313,6550,3594,1.82,0,3594,-0.00478
2016-04-25,2016-04-27,22,2016-09-28,FR0123611362,3855,1455,2.65,0,1455,-0.00487
2016-04-25,2016-04-27,48,2017-03-29,FR0123611396,5170,1294,4,166,1460,-0.00466
2016-05-02,2016-05-04,12,2016-07-27,FR0123611313,6810,3496,1.95,372,3868,-0.00477
2016-05-02,2016-05-04,21,2016-09-28,FR0123611362,3105,1196,2.6,90,1286,-0.00475
2016-05-02,2016-05-04,51,2017-04-26,FR0123611404,4405,1594,2.76,174,1768,-0.00469
2016-05-09,2016-05-11,13,2016-08-10,FR0123611321,12240,3595,3.4,655,4250,-0.00487
2016-05-09,2016-05-11,20,2016-09-28,FR0123611362,4295,1194,3.6,198,1392,-0.00485
2016-05-09,2016-05-11,50,2017-04-26,FR0123611404,5309,1194,4.45,74,1268,-0.00485
2016-05-17,2016-05-19,12,2016-08-10,FR0123611321,9400,3493,2.69,0,3493,-0.00525
2016-05-17,2016-05-19,23,2016-10-26,FR0123611370,6785,1492,4.55,66,1558,-0.00498
2016-05-17,2016-05-19,49,2017-04-26,FR0123611404,4060,996,4.08,0,996,-0.00493
2016-05-23,2016-05-25,13,2016-08-24,FR0123611339,7635,3596,2.12,0,3596,-0.0051
2016-05-23,2016-05-25,22,2016-10-26,FR0123611370,4140,1345,3.08,0,1345,-0.00503
2016-05-23,2016-05-25,48,2017-04-26,FR0123611404,4375,998,4.38,0,998,-0.00495
2016-05-30,2016-06-01,12,2016-08-24,FR0123611339,6380,3299,1.93,0,3299,-0.00496
2016-05-30,2016-06-01,21,2016-10-26,FR0123611370,3300,1289,2.56,13,1302,-0.00486
2016-05-30,2016-06-01,51,2017-05-24,FR0123611412,3745,1397,2.68,0,1397,-0.00487
2016-06-06,2016-06-08,13,2016-09-07,FR0123611347,7730,3488,2.22,25,3513,-0.00493
2016-06-06,2016-06-08,20,2016-10-26,FR0123611370,3925,993,3.95,11,1004,-0.00493
2016-06-06,2016-06-08,50,2017-05-24,FR0123611412,4105,1491,2.75,57,1548,-0.00497
2016-06-13,2016-06-15,12,2016-09-07,FR0123611347,7259,3495,2.08,32,3527,-0.00497
2016-06-13,2016-06-15,23,2016-11-23,FR0123611388,4880,1495,3.26,72,1567,-0.005
2016-06-13,2016-06-15,49,2017-05-24,FR0123611412,2945,1013,2.91,0,1013,-0.00494
2016-06-20,2016-06-22,13,2016-09-21,FR0123611354,7964,3493,2.28,602,4095,-0.00506
2016-06-20,2016-06-22,22,2016-11-23,FR0123611388,4300,1495,2.88,110,1605,-0.00512
2016-06-20,2016-06-22,48,2017-05-24,FR0123611412,3155,996,3.17,18,1014,-0.00496
2016-06-27,2016-06-29,12,2016-09-21,FR0123611354,8618,3292,2.62,553,3845,-0.00543
2016-06-27,2016-06-29,21,2016-11-23,FR0123611388,4150,1491,2.78,243,1734,-0.00547
2016-06-27,2016-06-29,51,2017-06-21,FR0123611420,3610,1291,2.8,18,1309,-0.00541
2016-07-04,2016-07-06,13,2016-10-05,FR0123773501,5994,3397,1.76,316,3713,-0.00572
2016-07-04,2016-07-06,20,2016-11-23,FR0123611388,3500,1296,2.7,180,1476,-0.00572
2016-07-04,2016-07-06,50,2017-06-21,FR0123611420,3050,1095,2.79,79,1174,-0.00563
2016-07-11,2016-07-13,12,2016-10-05,FR0123773501,8373,3494,2.4,104,3598,-0.0058
2016-07-11,2016-07-13,23,2016-12-21,FR0123773519,3700,1400,2.64,0,1400,-0.00581
2016-07-11,2016-07-13,49,2017-06-21,FR0123611420,3060,1096,2.79,0,1096,-0.00582
2016-07-18,2016-07-20,13,2016-10-19,FR0123773527,7885,3596,2.19,0,3596,-0.00582
2016-07-18,2016-07-20,22,2016-12-21,FR0123773519,3155,1195,2.64,0,1195,-0.0057
2016-07-18,2016-07-20,48,2017-06-21,FR0123611420,3420,992,3.45,0,992,-0.00569
2016-07-25,2016-07-27,12,2016-10-19,FR0123773527,8228,3594,2.29,0,3594,-0.00572
2016-07-25,2016-07-27,21,2016-12-21,FR0123773519,3250,735,4.42,33,768,-0.00555
2016-07-25,2016-07-27,51,2017-07-19,FR0123773535,4375,1196,3.66,80,1276,-0.00546
2016-08-01,2016-08-03,13,2016-11-03,FR0123773543,10456,3394,3.08,86,3480,-0.0057
2016-08-01,2016-08-03,20,2016-12-21,FR0123773519,3865,888,4.35,32,920,-0.00556
2016-08-01,2016-08-03,50,2017-07-19,FR0123773535,4575,710,6.44,33,743,-0.0056
2016-08-08,2016-08-10,12,2016-11-03,FR0123773543,8442,2994,2.82,228,3222,-0.00583
2016-08-08,2016-08-10,23,2017-01-18,FR0123773550,5604,1095,5.12,170,1265,-0.00587
2016-08-08,2016-08-10,49,2017-07-19,FR0123773535,2860,892,3.21,103,995,-0.00574
2016-08-16,2016-08-18,13,2016-11-16,FR0123773568,7974,2994,2.66,13,3007,-0.00589
2016-08-16,2016-08-18,22,2017-01-18,FR0123773550,3360,894,3.76,10,904,-0.00601
2016-08-16,2016-08-18,48,2017-07-19,FR0123773535,4259,896,4.75,69,965,-0.00583
2016-08-22,2016-08-24,12,2016-11-16,FR0123773568,6499,3095,2.1,0,3095,-0.00593
2016-08-22,2016-08-24,21,2017-01-18,FR0123773550,3000,794,3.78,0,794,-0.00595
2016-08-22,2016-08-24,51,2017-08-17,FR0123773576,3180,1093,2.91,74,1167,-0.00587
2016-08-29,2016-08-31,13,2016-11-30,FR0123773584,5375,3495,1.54,60,3555,-0.00578
2016-08-29,2016-08-31,20,2017-01-18,FR0123773550,3205,1093,2.93,116,1209,-0.00586
2016-08-29,2016-08-31,50,2017-08-17,FR0123773576,3490,1220,2.86,41,1261,-0.00585
2016-09-05,2016-09-07,12,2016-11-30,FR0123773584,9133,3096,2.95,25,3121,-0.0058
2016-09-05,2016-09-07,23,2017-02-15,FR0123773592,4345,1394,3.12,0,1394,-0.0059
2016-09-05,2016-09-07,49,2017-08-17,FR0123773576,2930,1293,2.27,0,1293,-0.00587
2016-09-12,2016-09-14,13,2016-12-14,FR0123773600,5086,3136,1.62,0,3136,-0.00561
2016-09-12,2016-09-14,22,2017-02-15,FR0123773592,3530,1495,2.36,143,1638,-0.00565
2016-09-12,2016-09-14,48,2017-08-17,FR0123773576,3275,1205,2.72,162,1367,-0.00566
2016-09-19,2016-09-21,12,2016-12-14,FR0123773600,9698,3288,2.95,461,3749,-0.0058
2016-09-19,2016-09-21,21,2017-02-15,FR0123773592,3710,1596,2.32,86,1682,-0.00583
2016-09-19,2016-09-21,51,2017-09-13,FR0123773618,2920,1497,1.95,0,1497,-0.00569
2016-09-26,2016-09-28,13,2016-12-29,FR0123773626,8675,3495,2.48,0,3495,-0.00659
2016-09-26,2016-09-28,20,2017-02-15,FR0123773592,3425,1650,2.08,181,1831,-0.00623
2016-09-26,2016-09-28,50,2017-09-13,FR0123773618,2910,1293,2.25,233,1526,-0.00589
2016-10-03,2016-10-05,12,2016-12-29,FR0123773626,7011,3497,2,0,3497,-0.00685
2016-10-03,2016-10-05,23,2017-03-15,FR0123934616,3535,1694,2.09,0,1694,-0.0067
2016-10-03,2016-10-05,49,2017-09-13,FR0123773618,3375,1495,2.26,59,1554,-0.00633
