DATE,RPWB56A,RPWB55A,RPWB72A,RPWB67A,RPWB69A,RPWZ4TM,RPWZOQ4,RPWZ4TL,YWMB84C,RPWZ4TJ,RPWZ4TK,RPWZ4TN,RPWB59A,YWMB85C
13 Jul 2022,948730,87570,370,0,3570,866528,192068,17853,,3570,0,8247,8302,
20 Jul 2022,935086,87605,370,0,3570,866528,192068,17927,,3570,0,7877,7888,
27 Jul 2022,945375,87730,370,0,3570,863340,192068,17606,,3570,0,7518,7527,
03 Aug 2022,946691,87782,370,0,3570,862950,192066,17639,,3570,0,7547,7638,
04 Aug 2022,,,,,,,,,0,,,,,481
10 Aug 2022,955215,87676,370,0,3590,862950,192066,17658,,3590,0,7541,7657,
17 Aug 2022,953736,87501,370,0,3590,862950,192066,17792,,3590,0,7750,7887,
24 Aug 2022,949595,87424,370,0,3595,862950,192066,17874,,3595,0,8033,8477,
31 Aug 2022,947155,87595,370,0,3602,862760,192016,17906,,3602,0,7738,7918,
07 Sep 2022,946670,87337,370,0,3602,856819,192016,17236,,3602,0,8196,8290,
14 Sep 2022,945649,87053,370,0,2807,856819,191966,17328,,2807,0,8221,8909,
21 Sep 2022,941884,87329,370,0,2812,856819,191966,17369,,2812,0,8790,8803,
22 Sep 2022,,,,,,,,,0,,,,,6512
28 Sep 2022,937995,87040,370,0,2812,856819,191916,17373,,2812,0,9068,9532,
05 Oct 2022,946651,86761,370,0,3067,856819,191911,17377,,3067,0,8995,9003,
12 Oct 2022,952783,86460,370,60,2382,856819,191911,17381,,2382,0,9076,9086,
19 Oct 2022,957683,86320,370,15,2532,856819,191911,17385,,2532,0,8671,9683,
26 Oct 2022,952845,86284,370,15,2632,856449,191911,17460,,2632,0,9417,9424,
02 Nov 2022,950220,86400,370,10,2862,856449,191906,17523,,2862,0,9366,9373,
03 Nov 2022,,,,,,,,,0,,,,,2240
09 Nov 2022,956786,86306,370,0,3067,856449,191906,17640,,3067,0,9050,9168,
16 Nov 2022,948099,86356,370,19,3067,856449,188906,17719,,3067,0,8801,8853,
23 Nov 2022,951917,86626,370,10,3112,856449,188906,17817,,3112,0,8650,8888,
30 Nov 2022,950069,86889,370,0,3152,856449,188906,17829,,3152,0,8971,9231,
07 Dec 2022,942362,87247,370,5,3152,856449,188906,17780,,3152,0,8963,8974,
14 Dec 2022,936676,87578,370,5,3167,856449,187901,17785,,3167,0,8586,8595,
15 Dec 2022,,,,,,,,,0,,,,,0
21 Dec 2022,933469,88051,370,5,3167,856449,184801,17789,,3167,0,8414,8419,
28 Dec 2022,928816,88580,370,0,3272,856449,182401,17793,,3272,0,8468,8469,
04 Jan 2023,930808,87859,370,0,3272,856449,182401,17798,,3272,0,8467,8466,
11 Jan 2023,923908,86716,370,0,3252,856449,182401,17802,,3252,0,8634,8921,
18 Jan 2023,917897,86285,370,5,3257,856449,182361,17806,,3257,0,8054,8255,
25 Jan 2023,911121,86032,370,10,3262,843736,182361,17796,,3262,0,7675,7797,
01 Feb 2023,916427,85901,370,1500,3262,843736,181968,17795,,3262,0,7896,8411,
02 Feb 2023,,,,,,,,,0,,,,,214
08 Feb 2023,917491,85910,370,0,3262,843736,181463,17799,,3262,0,8308,9407,
15 Feb 2023,912797,85832,370,15,2945,843736,180713,17804,,2945,0,9307,10178,
22 Feb 2023,908222,85878,370,0,2945,843736,180703,17808,,2945,0,9545,10374,
01 Mar 2023,909993,85886,370,5,2955,843736,180503,17786,,2955,0,11866,12277,
08 Mar 2023,910961,85964,370,1010,2955,843736,180493,17726,,2955,0,11963,12091,
15 Mar 2023,905714,85930,370,15,2695,843736,180485,17731,,2695,0,11807,12149,
22 Mar 2023,902541,85952,370,5,2695,843736,180465,17735,,2695,0,11585,11603,
23 Mar 2023,,,,,,,,,0,,,,,0
29 Mar 2023,908490,86006,370,10,2705,843736,175925,17739,,2705,0,11578,11594,
05 Apr 2023,904353,86345,370,0,2715,843736,175920,17744,,2715,0,11559,11401,
12 Apr 2023,902733,86704,370,0,2125,843736,175920,17748,,2125,0,11111,11029,
19 Apr 2023,890440,86204,370,0,2125,843736,175915,17753,,2125,0,11121,11515,
26 Apr 2023,880537,86239,370,10,2125,823792,175904,17740,,2125,0,11533,11368,
03 May 2023,881208,86688,370,31,2135,823792,175902,17745,,2135,0,9920,9719,
10 May 2023,879491,86846,370,20,970,823792,175887,17749,,970,0,9854,9652,
11 May 2023,,,,,,,,,0,,,,,5
17 May 2023,887177,86696,370,6,990,823792,175821,17753,,990,0,10302,10018,
24 May 2023,883747,86697,370,5,995,823792,173810,17688,,995,0,10270,10058,
31 May 2023,884961,86903,370,5,995,823792,173369,17425,,995,0,9833,9703,
01 Jun 2023,,,,,,,,,0,,,,,1
07 Jun 2023,882324,86907,370,5,995,823792,173369,17372,,995,0,9639,9555,
14 Jun 2023,871459,86903,370,5,270,823792,173369,17377,,270,0,9847,9376,
21 Jun 2023,873124,86699,370,0,290,823792,173369,17381,,290,0,9700,9234,
28 Jun 2023,877151,86732,370,0,300,823792,171209,17385,,300,0,9771,9301,
05 Jul 2023,874008,87006,370,0,325,823792,169032,17389,,325,0,9783,9388,
12 Jul 2023,871612,86984,370,0,188,823792,169032,17393,,188,0,9716,9248,
19 Jul 2023,849116,86845,370,15,193,804096,169028,17397,,193,0,9954,9485,
26 Jul 2023,840494,86889,370,1200,208,804096,168771,16891,,208,0,9906,9443,
02 Aug 2023,838987,86824,370,305,223,804096,168077,16888,,223,0,10275,9589,
03 Aug 2023,,,,,,,,,0,,,,,0
09 Aug 2023,845412,86799,370,300,233,804096,168044,16892,,233,0,10259,9579,
16 Aug 2023,842130,86687,370,150,223,804096,167832,16896,,223,0,10070,9554,
23 Aug 2023,835805,86671,370,155,223,804096,167732,16900,,223,0,10186,9685,
30 Aug 2023,835389,86864,370,150,238,804096,167582,16904,,238,0,10378,9815,
06 Sep 2023,822697,86685,370,160,253,804096,167432,16896,,253,0,11171,10078,
13 Sep 2023,817561,86608,370,155,273,804096,167404,16187,,273,0,11009,10228,
20 Sep 2023,816485,86540,370,0,288,804096,163301,16191,,288,0,10685,10081,
21 Sep 2023,,,,,,,,,0,,,,,1
27 Sep 2023,824246,86613,370,15,288,804096,162611,16195,,288,0,10634,10083,
04 Oct 2023,819139,86629,370,500,343,804096,159493,16199,,343,0,10719,10100,
11 Oct 2023,818228,86597,370,510,353,804096,159493,16203,,353,0,10358,9751,
18 Oct 2023,817923,86670,370,505,853,804096,159491,16207,,853,0,10855,10118,
25 Oct 2023,806920,86641,370,750,903,757922,159171,16194,,903,0,10926,10209,
01 Nov 2023,804656,86787,370,500,913,757922,159028,16198,,913,0,11037,10149,
02 Nov 2023,,,,,,,,,0,,,,,0
08 Nov 2023,808590,86901,370,500,963,757922,159023,16202,,963,0,10706,10102,
15 Nov 2023,808154,86965,370,610,943,757922,158918,16206,,943,0,10980,10552,
22 Nov 2023,802692,87127,370,610,1013,757922,158826,16210,,1013,0,11371,10998,
29 Nov 2023,806571,87333,370,1805,1013,757922,158518,16213,,1013,0,11467,10827,
06 Dec 2023,809849,87556,370,2460,1113,757922,157618,16233,,1113,0,10627,10180,
13 Dec 2023,800583,87887,370,4000,1055,757922,154733,16176,,1055,0,10694,10241,
14 Dec 2023,,,,,,,,,0,,,,,0
20 Dec 2023,804386,88512,370,3171,1060,757922,153521,16188,,1060,0,10303,10090,
27 Dec 2023,801283,89254,370,2200,1225,757922,153379,16192,,1225,0,10469,10022,
03 Jan 2024,800368,88468,370,2200,1225,757922,153379,16196,,1225,0,10110,9657,
10 Jan 2024,803419,87507,370,2100,1680,757922,153372,16200,,1680,0,11029,10551,
17 Jan 2024,798858,87082,370,700,1709,757922,153363,16204,,1709,0,10999,10650,
24 Jan 2024,786166,86954,370,2365,1709,744305,152672,16195,,1709,0,10802,10880,
31 Jan 2024,781597,86814,370,1970,1869,744305,152042,16194,,1869,0,11297,10984,
01 Feb 2024,,,,,,,,,0,,,,,0
07 Feb 2024,790284,86860,370,2580,1869,744305,152042,16198,,1869,0,10620,10267,
14 Feb 2024,788010,86826,370,2518,1839,744305,152004,16202,,1839,0,10988,11157,
21 Feb 2024,787697,86914,370,2500,1839,744305,151584,16206,,1839,0,10316,10434,
28 Feb 2024,785589,87004,370,1105,1839,744305,151339,16210,,1839,0,12201,12433,
06 Mar 2024,798812,87223,370,1100,1839,744305,151124,16208,,1839,0,12949,13286,
13 Mar 2024,794895,87292,370,2115,2229,744305,150352,16156,,2229,0,11837,11530,
20 Mar 2024,774666,87329,370,2747,2234,744305,144396,16160,,2234,0,11475,11455,
21 Mar 2024,,,,,,,,,0,,,,,0
27 Mar 2024,791963,87677,370,3530,2239,744305,144253,16164,,2239,0,11796,11472,
03 Apr 2024,794388,88017,370,5150,2279,744305,144185,16168,,2279,0,11760,11560,
10 Apr 2024,793042,87717,370,4820,1644,744305,144185,16172,,1644,0,11479,11783,
17 Apr 2024,792333,87615,370,5384,1649,744305,143923,16176,,1649,0,11477,11357,
24 Apr 2024,770374,87620,370,5355,1654,744305,143923,15666,,1654,0,12297,11892,
01 May 2024,759970,87837,370,7587,1654,728144,142990,15669,,1654,0,12520,12936,
08 May 2024,763642,88078,370,12212,1664,728144,142635,15672,,1664,0,13288,13147,
09 May 2024,,,,,,,,,0,,,,,0
15 May 2024,769095,88007,370,13580,1974,728144,142635,15676,,1974,0,13438,13341,
22 May 2024,765429,88153,370,14444,1974,728144,141958,15680,,1974,0,14340,13919,
29 May 2024,771032,88370,370,16245,1979,728144,141833,15684,,1979,0,13589,13744,
05 Jun 2024,771237,88366,370,17186,2119,728144,140428,15680,,2119,0,14379,13955,
12 Jun 2024,766544,88376,370,19096,2024,728144,140407,15632,,2024,0,14179,14138,
19 Jun 2024,764212,88404,370,19561,2029,728144,139627,15635,,2029,0,14660,14364,
20 Jun 2024,,,,,,,,,0,,,,,0
26 Jun 2024,769291,88608,370,18921,2069,728144,138123,15639,,2069,0,15391,15042,
03 Jul 2024,763619,88693,370,21347,2069,728144,131835,15643,,2069,0,14506,14101,
10 Jul 2024,762332,88785,370,22657,2545,728144,131582,15647,,2545,0,14973,14667,
17 Jul 2024,765759,88770,370,23815,2545,728144,131527,15651,,2545,0,15588,14814,
24 Jul 2024,755831,88919,370,29076,2550,695024,131032,15642,,2550,0,15819,14926,
31 Jul 2024,751461,88994,370,30359,2575,695024,130436,15641,,2575,0,15912,15322,
01 Aug 2024,,,,,,,,,0,,,,,1
07 Aug 2024,760467,88959,370,34015,2575,695024,130344,15645,,2575,0,16718,16116,
14 Aug 2024,752919,89006,370,27464,3075,695024,130294,15649,,3075,0,16697,15762,
21 Aug 2024,760022,89085,370,34292,3775,695024,129589,15652,,3775,0,16152,15424,
28 Aug 2024,759428,89266,370,38058,3820,695024,129099,15656,,3820,0,16724,15980,
04 Sep 2024,750575,88985,370,36584,3820,695024,128950,15671,,3820,0,16155,15827,
11 Sep 2024,738939,88929,370,40290,3870,695024,127985,14860,,3870,0,15345,15630,
18 Sep 2024,737380,88938,370,43662,4050,695024,123628,14864,,4050,0,14601,13862,
19 Sep 2024,,,,,,,,,0,,,,,0
25 Sep 2024,742733,88976,370,44523,4100,695024,123509,14868,,4100,0,13798,13090,
02 Oct 2024,729822,89109,370,37059,4260,695024,119979,14871,,4260,0,13448,12616,
09 Oct 2024,730742,89103,370,39470,4275,695024,118252,14875,,4275,0,14337,13721,
16 Oct 2024,729308,89197,370,38880,4710,695024,118162,14878,,4710,0,13544,12998,
23 Oct 2024,720940,89261,370,41100,4710,659015,117969,14868,,4710,0,14897,14229,
30 Oct 2024,724722,89448,370,46743,4820,659015,116919,14871,,4820,0,13922,13103,
06 Nov 2024,726283,89623,370,45724,5180,659015,116557,14875,,5180,0,15140,14258,
07 Nov 2024,,,,,,,,,0,,,,,0
13 Nov 2024,729012,89755,370,44316,5455,659015,115999,14879,,5455,0,14409,13328,
20 Nov 2024,728745,89791,370,43708,5470,659015,115832,14882,,5470,0,16153,14741,
27 Nov 2024,730256,90028,370,45375,5895,659015,115477,14886,,5895,0,15991,14860,
04 Dec 2024,725855,90384,370,40983,6140,659015,114857,14880,,6140,0,16238,15061,
11 Dec 2024,722755,90767,370,41870,6723,659015,114748,14831,,6723,0,17019,16099,
18 Dec 2024,718126,91321,370,43390,6873,659015,108506,14835,,6873,0,16186,14901,
19 Dec 2024,,,,,,,,,0,,,,,0
25 Dec 2024,709831,92164,370,38075,7391,659015,102672,14838,,7391,0,16719,15419,
01 Jan 2025,711588,91932,370,38075,7391,659015,102672,14842,,7391,0,16740,15439,
08 Jan 2025,718052,90978,370,46180,7391,659015,102672,14845,,7391,0,17935,16704,
15 Jan 2025,722251,90368,370,51364,6901,659015,102484,14849,,6901,0,16973,16144,
22 Jan 2025,707810,90159,370,46691,7391,659015,102439,14840,,7391,0,15871,14875,
29 Jan 2025,699549,90244,370,46411,8446,654531,101398,14844,,8446,0,15231,13966,
05 Feb 2025,706112,90278,370,49192,9526,654531,100400,14720,,9526,0,15582,14656,
06 Feb 2025,,,,,,,,,0,,,,,0
12 Feb 2025,712464,90214,370,53417,9031,654531,99670,14724,,9031,0,15132,13309,
19 Feb 2025,716724,90297,370,54666,9381,654531,99261,14727,,9381,0,15895,15617,
26 Feb 2025,706745,90350,370,50340,9536,654531,98234,14731,,9536,0,16231,15521,
05 Mar 2025,700185,90544,370,58208,9686,654531,96595,14733,,9686,0,15354,14861,
12 Mar 2025,694950,90704,370,57811,10026,654531,96595,14009,,10026,0,14805,14129,
19 Mar 2025,695578,90859,370,61146,12153,654531,96586,14012,,12153,0,14321,14897,
20 Mar 2025,,,,,,,,,0,,,,,0
26 Mar 2025,698263,91067,370,62509,13488,654531,90776,14015,,13488,0,14096,13809,
02 Apr 2025,695501,91256,370,58394,14825,654531,88738,14019,,14825,0,13839,13813,
09 Apr 2025,696052,91579,370,59439,15485,654531,88727,14022,,15485,0,13239,13168,
16 Apr 2025,695990,91906,370,60702,16895,654531,88722,14025,,16895,0,13265,13319,
23 Apr 2025,694177,91964,370,64000,18235,622521,88692,14015,,18235,0,13113,13431,
30 Apr 2025,682893,92018,370,54878,18875,622521,87154,14018,,18875,0,14092,13733,
07 May 2025,688756,92318,370,59071,19225,622521,85894,14022,,19225,0,12493,12027,
08 May 2025,,,,,,,,,0,,,,,0
14 May 2025,695973,92317,370,60684,20920,622521,85843,14025,,20920,0,12274,12082,
21 May 2025,696179,92341,370,60872,21460,622521,85821,14028,,21460,0,12402,11819,
28 May 2025,693160,92612,370,63333,21755,622521,84846,14032,,21755,0,11639,11065,
04 Jun 2025,685918,92552,370,62171,22593,622521,84826,14036,,22593,0,11412,11520,
11 Jun 2025,671107,92557,370,68106,22304,622521,84822,13479,,22304,0,12728,12680,
18 Jun 2025,670345,92616,370,68929,23394,622521,84796,13483,,23394,0,13367,12652,
19 Jun 2025,,,,,,,,,0,,,,,0
25 Jun 2025,678396,92784,370,69870,24986,622521,84163,13486,,24986,0,13666,13243,
02 Jul 2025,680528,93111,370,72782,26338,622521,83000,13489,,26338,0,14363,14033,
09 Jul 2025,681171,93134,370,74225,26598,622521,82950,13492,,26598,0,13592,13245,
16 Jul 2025,680177,93279,370,73056,27226,622521,82655,13496,,27226,0,14274,13705,
23 Jul 2025,673121,93444,370,72776,28571,590018,82216,13486,,28571,0,13663,13676,
30 Jul 2025,667375,93603,370,69902,29127,590018,80389,13489,,29127,0,14559,13862,
06 Aug 2025,670018,93768,370,71221,29741,590018,80170,13489,,29741,0,14310,14326,
07 Aug 2025,,,,,,,,,0,,,,,0
13 Aug 2025,674227,93807,370,71248,29981,590018,80085,13492,,29981,0,15040,14340,
20 Aug 2025,672700,93925,370,68884,29952,590018,80017,13495,,29952,0,16021,15481,
27 Aug 2025,667451,94114,370,68402,30650,590018,79647,13499,,30650,0,15393,14725,
03 Sep 2025,667000,94044,370,75652,30925,590018,79220,13500,,30925,0,16098,14901,
10 Sep 2025,652825,94070,370,77991,31086,590018,78658,12978,,31086,0,14685,14849,
17 Sep 2025,658692,94157,370,83085,31984,590018,78133,12981,,31984,0,15141,14458,
18 Sep 2025,,,,,,,,,0,,,,,0
24 Sep 2025,659633,94216,370,80602,33344,590018,78028,12984,,33344,0,14834,14584,
01 Oct 2025,661740,94443,370,87149,34359,590018,71733,12987,,34359,0,15651,15181,
08 Oct 2025,657386,94656,370,80584,37844,590018,71325,12990,,37844,0,20143,18024,
15 Oct 2025,654605,94727,370,80462,38970,590018,68771,12994,,38970,0,19383,17571,
22 Oct 2025,653544,94886,370,81837,43974,590018,64717,12983,,43974,0,19111,17015,
29 Oct 2025,630219,95024,370,83681,47163,558069,41906,12986,,47163,0,19228,16993,
05 Nov 2025,651284,95213,370,97882,54321,558069,41906,12989,,54321,0,17418,16479,
06 Nov 2025,,,,,,,,,29,,,,,0
12 Nov 2025,643332,95326,370,85687,55401,558069,41906,13072,,55401,0,17418,16629,
19 Nov 2025,653933,95493,370,92003,60919,558069,41894,13151,,60919,0,17675,16771,
26 Nov 2025,659825,95659,370,96634,61479,558069,41894,13230,,61479,0,19122,17540,
03 Dec 2025,660119,95982,370,97103,60993,558069,41894,13352,,60993,0,17745,16836,
10 Dec 2025,657704,96411,370,97208,61618,558069,41894,13380,,61618,0,17913,16772,
17 Dec 2025,652866,96944,370,93143,62514,558069,41894,13458,,62514,0,18086,16699,
18 Dec 2025,,,,,,,,,0,,,,,0
24 Dec 2025,656873,97714,370,98162,61545,558069,41894,13461,,61545,0,17667,16564,
31 Dec 2025,660571,97418,370,98162,61545,558069,41894,13466,,61545,0,17533,16538,
07 Jan 2026,661505,96561,370,98162,61545,558069,41894,13469,,61545,0,16981,17769,
14 Jan 2026,660515,96115,370,97014,62741,558069,41894,13473,,62741,0,18550,18061,
21 Jan 2026,661999,95760,370,99300,64633,558069,41894,13477,,64633,0,18311,18580,
28 Jan 2026,645956,95674,370,97876,66366,553158,41894,13468,,66366,0,18905,18828,
04 Feb 2026,642563,95634,370,100885,67200,553158,41894,12695,,67200,0,19965,18862,
05 Feb 2026,,,,,,,,,71,,,,,0
11 Feb 2026,640365,95576,370,96395,67734,553158,41894,12733,,67734,0,21688,21155,
