date,kind,instrument_jp,instrument_en,offered,start,end,rate,yield,bids,allotted
2025-10-09,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-09,2025-10-10,,0.25,0.0,0.0
2025-10-10,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-10,2025-10-14,,0.25,1416.0,1416.0
2025-10-10,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-10,2025-10-14,,0.25,0.0,0.0
2025-10-14,pooled,共通担保資金供給（全店）＜固定金利方式＞,Funds-Supplying Operations against Pooled Collateral (at All Offices) (Fixed rate),8000.0,2025-10-15,2025-10-29,0.5,,16681.0,8009.0
2025-10-14,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-14,2025-10-15,,0.25,1188.0,1188.0
2025-10-14,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-14,2025-10-15,,0.25,0.0,0.0
2025-10-14,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-10-16,2025-10-23,4.35,,1.0,1.0
2025-10-15,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-15,2025-10-16,,0.25,1551.0,1551.0
2025-10-15,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-15,2025-10-16,,0.25,0.0,0.0
2025-10-16,jgb_purch,国債買入（残存期間１年超３年以下）,Outright purchases of JGBs(residual maturity of more than 1 year and up to 3 years),3000.0,2025-10-17,,,,6313.0,3004.0
2025-10-16,jgb_purch,国債買入（残存期間３年超５年以下）,Outright purchases of JGBs(residual maturity of more than 3 years and up to 5 years),2800.0,2025-10-17,,,,5475.0,2802.0
2025-10-16,jgb_purch,国債買入（残存期間５年超１０年以下）,Outright purchases of JGBs(residual maturity of more than 5 years and up to 10 years),3050.0,2025-10-17,,,,7199.0,3056.0
2025-10-16,jgb_purch,国債買入（残存期間２５年超）,Outright purchases of JGBs(residual maturity of more than 25 years),750.0,2025-10-17,,,,1414.0,750.0
2025-10-16,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-16,2025-10-17,,0.25,1678.0,1678.0
2025-10-16,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-16,2025-10-17,,0.25,5.0,5.0
2025-10-17,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-17,2025-10-20,,0.25,1539.0,1539.0
2025-10-17,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-17,2025-10-20,,0.25,0.0,0.0
2025-10-20,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-20,2025-10-21,,0.25,2233.0,2233.0
2025-10-20,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-20,2025-10-21,,0.25,0.0,0.0
2025-10-21,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-21,2025-10-22,,0.25,1337.0,1337.0
2025-10-21,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-21,2025-10-22,,0.25,40.0,40.0
2025-10-21,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-10-23,2025-10-30,4.37,,0.0,0.0
2025-10-22,jgb_purch,国債買入（残存期間１年超３年以下）,Outright purchases of JGBs(residual maturity of more than 1 year and up to 3 years),3000.0,2025-10-23,,,,4563.0,3004.0
2025-10-22,jgb_purch,国債買入（残存期間３年超５年以下）,Outright purchases of JGBs(residual maturity of more than 3 years and up to 5 years),2800.0,2025-10-23,,,,5756.0,2803.0
2025-10-22,jgb_purch,国債買入（残存期間１０年超２５年以下）,Outright purchases of JGBs(residual maturity of more than 10 years and up to 25 years),1150.0,2025-10-23,,,,3771.0,1153.0
2025-10-22,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-22,2025-10-23,,0.25,1132.0,1132.0
2025-10-22,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-22,2025-10-23,,0.25,0.0,0.0
2025-10-23,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-23,2025-10-24,,0.25,1070.0,1070.0
2025-10-23,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-23,2025-10-24,,0.25,0.0,0.0
2025-10-24,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-24,2025-10-27,,0.25,923.0,923.0
2025-10-24,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-24,2025-10-27,,0.25,0.0,0.0
2025-10-27,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-27,2025-10-28,,0.25,1365.0,1365.0
2025-10-27,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-27,2025-10-28,,0.25,100.0,100.0
2025-10-28,jgb_purch,国債買入（残存期間３年超５年以下）,Outright purchases of JGBs(residual maturity of more than 3 years and up to 5 years),2800.0,2025-10-29,,,,6086.0,2803.0
2025-10-28,jgb_purch,国債買入（残存期間５年超１０年以下）,Outright purchases of JGBs(residual maturity of more than 5 years and up to 10 years),3050.0,2025-10-29,,,,5843.0,3053.0
2025-10-28,jgb_purch,国債買入（残存期間１０年超２５年以下）,Outright purchases of JGBs(residual maturity of more than 10 years and up to 25 years),1150.0,2025-10-29,,,,3112.0,1154.0
2025-10-28,jgb_purch,国債買入（残存期間２５年超）,Outright purchases of JGBs(residual maturity of more than 25 years),750.0,2025-10-29,,,,2214.0,751.0
2025-10-28,jgb_purch,国債買入（物価連動債）,Outright purchases of JGBs(inflation-indexed bonds),500.0,2025-10-29,,,,2085.0,500.0
2025-10-28,pooled,共通担保資金供給（全店）＜固定金利方式＞,Funds-Supplying Operations against Pooled Collateral (at All Offices) (Fixed rate),8000.0,2025-10-29,2025-11-12,0.5,,25901.0,8010.0
2025-10-28,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-28,2025-10-29,,0.25,1291.0,1291.0
2025-10-28,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-28,2025-10-29,,0.25,0.0,0.0
2025-10-28,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-10-30,2025-11-06,4.15,,0.0,0.0
2025-10-29,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-29,2025-10-30,,0.25,2373.0,2373.0
2025-10-29,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-29,2025-10-30,,0.25,0.0,0.0
2025-10-30,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-30,2025-10-31,,0.25,940.0,940.0
2025-10-30,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-30,2025-10-31,,0.25,0.0,0.0
2025-10-31,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-31,2025-11-04,,0.25,1644.0,1644.0
2025-10-31,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-31,2025-11-04,,0.25,0.0,0.0
2025-11-04,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-04,2025-11-05,,0.25,3378.0,3378.0
2025-11-04,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-04,2025-11-05,,0.25,1000.0,1000.0
2025-11-04,slf_usd,米ドル資金供給用担保国債供給（国債売現先）,Securities lending to provide JGSs as collateral for US Dollar Funds-Supplying Operations against Pooled Collateral (Sales of JGSs under repurchase agreements),5000.0,2025-11-05,2025-11-17,,0.47,2.0,2.0
2025-11-04,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-11-06,2025-11-14,4.13,,1.0,1.0
2025-11-05,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-05,2025-11-06,,0.25,1880.0,1880.0
2025-11-05,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-05,2025-11-06,,0.25,0.0,0.0
2025-11-06,jgb_purch,国債買入（残存期間１年以下）,Outright purchases of JGBs(residual maturity of up to 1 year),1000.0,2025-11-07,,,,4439.0,1003.0
2025-11-06,jgb_purch,国債買入（残存期間１年超３年以下）,Outright purchases of JGBs(residual maturity of more than 1 year and up to 3 years),3000.0,2025-11-07,,,,5268.0,3002.0
2025-11-06,jgb_purch,国債買入（残存期間３年超５年以下）,Outright purchases of JGBs(residual maturity of more than 3 years and up to 5 years),2800.0,2025-11-07,,,,10273.0,2801.0
2025-11-06,jgb_purch,国債買入（残存期間１０年超２５年以下）,Outright purchases of JGBs(residual maturity of more than 10 years and up to 25 years),1150.0,2025-11-07,,,,3534.0,1154.0
2025-11-06,jgb_purch,国債買入（残存期間２５年超）,Outright purchases of JGBs(residual maturity of more than 25 years),750.0,2025-11-07,,,,2252.0,756.0
2025-11-06,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-06,2025-11-07,,0.25,423.0,423.0
2025-11-06,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-06,2025-11-07,,0.25,6.0,6.0
2025-11-07,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-07,2025-11-10,,0.25,1009.0,1009.0
2025-11-07,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-07,2025-11-10,,0.25,0.0,0.0
2025-11-10,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-10,2025-11-11,,0.25,1337.0,1337.0
2025-11-10,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-10,2025-11-11,,0.25,0.0,0.0
2025-11-11,pooled,共通担保資金供給（全店）＜固定金利方式＞,Funds-Supplying Operations against Pooled Collateral (at All Offices) (Fixed rate),8000.0,2025-11-12,2025-11-26,0.5,,16815.0,8006.0
2025-11-11,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-11,2025-11-12,,0.25,626.0,626.0
2025-11-11,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-11,2025-11-12,,0.25,1.0,1.0
2025-11-12,jgb_purch,国債買入（残存期間１年超３年以下）,Outright purchases of JGBs(residual maturity of more than 1 year and up to 3 years),3000.0,2025-11-13,,,,11843.0,3001.0
2025-11-12,jgb_purch,国債買入（残存期間５年超１０年以下）,Outright purchases of JGBs(residual maturity of more than 5 years and up to 10 years),3050.0,2025-11-13,,,,6346.0,3052.0
2025-11-12,jgb_purch,国債買入（残存期間１０年超２５年以下）,Outright purchases of JGBs(residual maturity of more than 10 years and up to 25 years),1150.0,2025-11-13,,,,4085.0,1151.0
2025-11-12,pooled,共通担保資金供給（全店）＜固定金利方式＞・即日,Funds-Supplying Operations against Pooled Collateral (at All Offices) (Fixed rate) /same-day-start operation,1000.0,2025-11-12,2025-11-13,0.5,,58.0,58.0
2025-11-12,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-12,2025-11-13,,0.25,963.0,963.0
2025-11-12,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-12,2025-11-13,,0.25,0.0,0.0
2025-11-12,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-11-14,2025-11-20,4.13,,3.0,3.0
2025-11-13,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-13,2025-11-14,,0.25,809.0,809.0
2025-11-13,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-13,2025-11-14,,0.25,204.0,204.0
2025-11-14,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-14,2025-11-17,,0.25,568.0,568.0
2025-11-14,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-14,2025-11-17,,0.25,0.0,0.0
2025-11-17,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-17,2025-11-18,,0.25,458.0,458.0
2025-11-17,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-17,2025-11-18,,0.25,99.0,99.0
2025-11-18,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-18,2025-11-19,,0.25,75.0,75.0
2025-11-18,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-18,2025-11-19,,0.25,154.0,154.0
2025-11-18,slf_usd,米ドル資金供給用担保国債供給（国債売現先）,Securities lending to provide JGSs as collateral for US Dollar Funds-Supplying Operations against Pooled Collateral (Sales of JGSs under repurchase agreements),5000.0,2025-11-19,2025-12-01,,0.47,2.0,2.0
2025-11-18,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-11-20,2025-11-28,4.14,,2.0,2.0
2025-11-19,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-19,2025-11-20,,0.25,283.0,283.0
2025-11-19,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-19,2025-11-20,,0.25,0.0,0.0
2025-11-20,jgb_purch,国債買入（残存期間１年超３年以下）,Outright purchases of JGBs(residual maturity of more than 1 year and up to 3 years),3000.0,2025-11-21,,,,7767.0,3003.0
2025-11-20,jgb_purch,国債買入（残存期間３年超５年以下）,Outright purchases of JGBs(residual maturity of more than 3 years and up to 5 years),2800.0,2025-11-21,,,,6442.0,2802.0
2025-11-20,jgb_purch,国債買入（残存期間５年超１０年以下）,Outright purchases of JGBs(residual maturity of more than 5 years and up to 10 years),3050.0,2025-11-21,,,,7535.0,3056.0
2025-11-20,jgb_purch,国債買入（残存期間２５年超）,Outright purchases of JGBs(residual maturity of more than 25 years),750.0,2025-11-21,,,,2586.0,755.0
2025-11-20,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-20,2025-11-21,,0.25,559.0,559.0
2025-11-20,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-20,2025-11-21,,0.25,0.0,0.0
2025-11-21,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-21,2025-11-25,,0.25,2413.0,2413.0
2025-11-21,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-21,2025-11-25,,0.25,0.0,0.0
2025-11-25,pooled,共通担保資金供給（全店）＜固定金利方式＞,Funds-Supplying Operations against Pooled Collateral (at All Offices) (Fixed rate),8000.0,2025-11-26,2025-12-10,0.5,,16690.0,8006.0
2025-11-25,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-25,2025-11-26,,0.25,5281.0,5281.0
2025-11-25,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-25,2025-11-26,,0.25,626.0,626.0
2025-11-25,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-11-28,2025-12-04,4.15,,2.0,2.0
2025-11-26,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-26,2025-11-27,,0.25,3361.0,3361.0
2025-11-26,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-26,2025-11-27,,0.25,0.0,0.0
2025-11-27,jgb_purch,国債買入（残存期間３年超５年以下）,Outright purchases of JGBs(residual maturity of more than 3 years and up to 5 years),2800.0,2025-11-28,,,,6503.0,2804.0
2025-11-27,jgb_purch,国債買入（残存期間５年超１０年以下）,Outright purchases of JGBs(residual maturity of more than 5 years and up to 10 years),3050.0,2025-11-28,,,,7726.0,3058.0
2025-11-27,jgb_purch,国債買入（残存期間１０年超２５年以下）,Outright purchases of JGBs(residual maturity of more than 10 years and up to 25 years),1150.0,2025-11-28,,,,3429.0,1154.0
2025-11-27,jgb_purch,国債買入（物価連動債）,Outright purchases of JGBs(inflation-indexed bonds),500.0,2025-11-28,,,,1676.0,500.0
2025-11-27,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-27,2025-11-28,,0.25,1326.0,1326.0
2025-11-27,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-27,2025-11-28,,0.25,130.0,130.0
2025-11-28,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-11-28,2025-12-01,,0.25,1183.0,1183.0
2025-11-28,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-11-28,2025-12-01,,0.25,210.0,210.0
2025-12-01,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-12-01,2025-12-02,,0.25,4053.0,4053.0
2025-12-01,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-12-01,2025-12-02,,0.25,1000.0,1000.0
2025-12-02,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-12-02,2025-12-03,,0.25,2297.0,2297.0
2025-12-02,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-12-02,2025-12-03,,0.25,2.0,2.0
2025-12-02,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-12-04,2025-12-11,4.14,,2.0,2.0
2025-12-03,jgb_purch,国債買入（残存期間１年以下）,Outright purchases of JGBs(residual maturity of up to 1 year),1000.0,2025-12-04,,,,3521.0,1001.0
2025-12-03,jgb_purch,国債買入（残存期間１年超３年以下）,Outright purchases of JGBs(residual maturity of more than 1 year and up to 3 years),3000.0,2025-12-04,,,,7691.0,3004.0
2025-12-03,jgb_purch,国債買入（残存期間３年超５年以下）,Outright purchases of JGBs(residual maturity of more than 3 years and up to 5 years),2800.0,2025-12-04,,,,4887.0,2802.0
2025-12-03,jgb_purch,国債買入（残存期間１０年超２５年以下）,Outright purchases of JGBs(residual maturity of more than 10 years and up to 25 years),1150.0,2025-12-04,,,,3635.0,1152.0
2025-12-03,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-12-03,2025-12-04,,0.25,2932.0,2932.0
2025-12-03,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-12-03,2025-12-04,,0.25,248.0,248.0
2025-12-04,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-12-04,2025-12-05,,0.25,1252.0,1252.0
2025-12-04,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-12-04,2025-12-05,,0.25,0.0,0.0
