date,rg_am_net_daily
2024-09-13,-3950.0
2024-09-16,1450.0
2024-09-17,500.0
2024-09-18,-550.0
2024-09-19,2050.0
2024-09-20,0.0
2024-09-23,-3950.0
2024-09-24,1650.0
2024-09-25,-1850.0
2024-09-26,-2550.0
2024-09-27,1100.0
2024-10-01,-3550.0
2024-10-02,-650.0
2024-10-03,1750.0
2024-10-04,3600.0
2024-10-07,1850.0
2024-10-08,620.0
2024-10-09,4880.0
2024-10-10,-3950.0
2024-10-11,-2600.0
2024-10-15,1400.0
2024-10-16,-1600.0
2024-10-17,-2800.0
2024-10-18,2450.0
2024-10-21,-1350.0
2024-10-22,-400.0
2024-10-23,-2300.0
2024-10-24,1200.0
2024-10-25,240.0
2024-10-28,900.0
2024-10-29,-1845.0
2024-10-30,3705.0
2024-10-31,2550.0
2024-11-01,-9000.0
2024-11-04,-1650.0
2024-11-05,2800.0
2024-11-06,8625.0
2024-11-07,-1375.0
2024-11-08,-5250.0
2024-11-12,850.0
2024-11-13,600.0
2024-11-14,200.0
2024-11-15,2450.0
2024-11-18,-350.0
2024-11-19,-1125.0
2024-11-20,1155.0
2024-11-21,-4450.0
2024-11-22,-805.0
2024-11-25,1000.0
2024-11-26,-725.0
2024-11-27,-600.0
2024-11-28,500.0
2024-11-29,3000.0
2024-12-02,-4350.0
2024-12-03,200.0
2024-12-04,2850.0
2024-12-05,-950.0
2024-12-06,1500.0
2024-12-09,675.0
2024-12-10,-3450.0
2024-12-11,-1775.0
2024-12-12,3950.0
2024-12-13,6150.0
2024-12-16,3175.0
2024-12-17,-550.0
2024-12-18,-7775.0
2024-12-19,-500.0
2024-12-20,-1500.0
2024-12-23,-500.0
2024-12-24,-1500.0
2024-12-27,-1500.0
2024-12-30,850.0
2024-12-31,-1850.0
2025-01-02,2980.0
2025-01-03,350.0
2025-01-06,-1200.0
2025-01-07,-230.0
2025-01-08,-1950.0
2025-01-09,3600.0
2025-01-10,4550.0
2025-01-13,-750.0
2025-01-14,-1150.0
2025-01-15,1600.0
2025-01-16,-2000.0
2025-01-17,1550.0
2025-01-20,800.0
2025-01-21,-3050.0
2025-01-22,-1750.0
2025-01-23,-100.0
2025-01-24,-750.0
2025-01-27,3100.0
2025-01-28,-1600.0
2025-01-29,1100.0
2025-01-30,3000.0
2025-01-31,6500.0
2025-02-03,-9100.0
2025-02-04,2500.0
2025-02-05,5816.0
2025-02-06,3884.0
2025-02-07,4693.0
2025-02-10,2066.0
2025-02-11,870.0
2025-02-12,-2069.0
2025-02-13,-3260.0
2025-02-14,1400.0
2025-02-18,-1700.0
2025-02-19,-1900.0
2025-02-20,-3950.0
2025-02-21,600.0
2025-02-24,-1186.0
2025-02-25,400.0
2025-02-26,4556.0
2025-02-27,-1650.0
2025-02-28,-3570.0
2025-03-03,-9000.0
2025-03-04,6000.0
2025-03-05,14500.0
2025-03-06,1175.0
2025-03-07,1075.0
2025-03-10,1650.0
2025-03-11,-50.0
2025-03-12,1650.0
2025-03-13,-2000.0
2025-03-14,1700.0
2025-03-17,950.0
2025-03-18,-2842.0
2025-03-19,-6558.0
2025-03-20,425.0
2025-03-21,-4400.0
2025-03-24,-2650.0
2025-03-25,-4175.0
2025-03-26,5000.0
2025-03-27,-900.0
2025-03-28,1800.0
2025-03-31,-1500.0
2025-04-01,-12850.0
2025-04-02,0.0
2025-04-03,5247.0
2025-04-04,3453.0
2025-04-07,651.0
2025-04-08,-1450.0
2025-04-09,-6453.0
2025-04-10,2052.0
2025-04-11,2378.0
2025-04-14,248.0
2025-04-15,1750.0
2025-04-16,-3575.0
2025-04-17,-4051.0
2025-04-21,950.0
2025-04-22,-1550.0
2025-04-23,3500.0
2025-04-24,-1250.0
2025-04-25,1200.0
2025-04-28,-900.0
2025-04-29,2550.0
2025-04-30,1300.0
2025-05-01,-5050.0
2025-05-02,-1950.0
2025-05-05,6950.0
2025-05-06,900.0
2025-05-07,-1400.0
2025-05-08,2600.0
2025-05-09,1150.0
2025-05-12,-250.0
2025-05-13,-1900.0
2025-05-14,-525.0
2025-05-15,2025.0
2025-05-16,100.0
2025-05-20,4550.0
2025-05-21,4350.0
2025-05-22,3550.0
2025-05-23,-6260.0
2025-05-26,3325.0
2025-05-27,-1100.0
2025-05-28,-5840.0
2025-05-29,500.0
2025-05-30,1400.0
2025-06-02,-4075.0
2025-06-03,-100.0
2025-06-04,1190.0
2025-06-05,1650.0
2025-06-06,50.0
2025-06-09,1050.0
2025-06-10,-90.0
2025-06-11,520.0
2025-06-12,-8195.0
2025-06-13,5225.0
2025-06-16,8180.0
2025-06-17,-1630.0
2025-06-18,-875.0
2025-06-19,-5350.0
2025-06-20,3025.0
2025-06-23,110.0
2025-06-24,-730.0
2025-06-25,-3550.0
2025-06-26,-7780.0
2025-06-27,4800.0
2025-06-30,1025.0
2025-07-02,6760.0
2025-07-03,-4910.0
2025-07-04,925.0
2025-07-07,5700.0
2025-07-08,-2125.0
2025-07-09,2785.0
2025-07-10,-3330.0
2025-07-11,-1747.0
2025-07-14,4730.0
2025-07-15,5290.0
2025-07-16,10572.0
2025-07-17,-3900.0
2025-07-18,-5100.0
2025-07-21,-200.0
2025-07-22,-6410.0
2025-07-23,-5390.0
2025-07-24,500.0
2025-07-25,7700.0
2025-07-28,-1940.0
2025-07-29,2260.0
2025-07-30,2607.0
2025-07-31,2823.0
2025-08-01,-4850.0
2025-08-05,-220.0
2025-08-06,-3146.0
2025-08-07,986.0
2025-08-08,8050.0
2025-08-11,4800.0
2025-08-12,976.0
2025-08-13,-46.0
2025-08-14,-3475.0
2025-08-15,3225.0
2025-08-18,360.0
2025-08-19,-3540.0
2025-08-20,-600.0
2025-08-21,-5300.0
2025-08-22,6505.0
2025-08-25,6740.0
2025-08-26,-4975.0
2025-08-27,7000.0
2025-08-28,-3225.0
2025-08-29,-6220.0
2025-09-02,-22270.0
2025-09-03,4000.0
2025-09-04,5550.0
2025-09-05,4450.0
2025-09-08,4000.0
2025-09-09,1000.0
2025-09-10,-4000.0
2025-09-11,5000.0
2025-09-12,-2080.0
2025-09-15,2090.0
2025-09-16,2990.0
2025-09-17,839.0
2025-09-18,-4839.0
2025-09-19,-2000.0
2025-09-22,0.0
2025-09-23,-1000.0
2025-09-24,0.0
2025-09-25,-3000.0
2025-09-26,-2500.0
2025-09-29,-300.0
2025-10-01,-10800.0
2025-10-02,5590.0
2025-10-03,7100.0
2025-10-06,4110.0
2025-10-07,2800.0
2025-10-08,150.0
2025-10-09,1978.0
2025-10-10,50.0
2025-10-14,2822.0
2025-10-15,-1000.0
2025-10-16,0.0
2025-10-17,925.0
2025-10-20,-6775.0
2025-10-21,-150.0
2025-10-22,-1000.0
2025-10-23,-1800.0
2025-10-24,-750.0
2025-10-27,-1075.0
2025-10-28,1650.0
2025-10-29,-6725.0
2025-10-30,1750.0
2025-10-31,5500.0
2025-11-03,-7700.0
2025-11-04,100.0
2025-11-05,8600.0
2025-11-06,-3690.0
2025-11-07,1585.0
2025-11-10,5105.0
2025-11-12,450.0
2025-11-13,-6350.0
2025-11-14,-250.0
2025-11-17,2400.0
2025-11-18,-3450.0
2025-11-19,-2000.0
2025-11-20,-3863.0
2025-11-21,800.0
2025-11-24,63.0
2025-11-25,150.0
2025-11-26,-500.0
2025-11-27,-3500.0
2025-11-28,-50.0
2025-12-01,-450.0
2025-12-02,0.0
2025-12-03,1000.0
2025-12-04,1705.0
2025-12-05,1295.0
2025-12-08,4000.0
2025-12-09,-2000.0
2025-12-10,-1900.0
2025-12-11,-100.0
2025-12-12,2500.0
2025-12-15,6000.0
2025-12-16,-3950.0
2025-12-17,-4050.0
2025-12-18,-2450.0
2025-12-19,750.0
2025-12-22,-3300.0
2025-12-23,1450.0
2025-12-24,-45.0
2025-12-29,-5365.0
2025-12-30,-140.0
2025-12-31,-2200.0
2026-01-02,4019.0
2026-01-05,1781.0
2026-01-06,-1950.0
2026-01-07,-850.0
2026-01-08,1800.0
2026-01-09,200.0
2026-01-12,-200.0
2026-01-13,0.0
2026-01-14,0.0
2026-01-15,0.0
2026-01-16,0.0
2026-01-19,0.0
2026-01-20,0.0
2026-01-21,-800.0
2026-01-22,800.0
2026-01-23,1000.0
2026-01-26,1500.0
2026-01-27,1500.0
2026-01-28,-2500.0
2026-01-29,-1920.0
2026-01-30,2300.0
2026-02-02,-2380.0
2026-02-03,-4245.0
2026-02-04,4745.0
2026-02-05,0.0
2026-02-06,0.0
2026-02-09,0.0
2026-02-10,0.0
2026-02-11,0.0
2026-02-12,3000.0
2026-02-13,1000.0
2026-02-17,-2000.0
2026-02-18,-1500.0
2026-02-19,-500.0
2026-02-20,0.0
2026-02-23,0.0
2026-02-24,2000.0
2026-02-25,0.0
2026-02-26,0.0
2026-02-27,4000.0
2026-03-02,-11000.0
2026-03-03,3865.0
2026-03-04,5135.0
2026-03-05,64.0
2026-03-06,1632.0
2026-03-09,304.0
2026-03-10,0.0
2026-03-11,-2000.0
2026-03-12,-1000.0
2026-03-13,3000.0
2026-03-16,-500.0
2026-03-17,-1000.0
2026-03-18,0.0
2026-03-19,2000.0
2026-03-20,-3000.0
2026-03-23,5000.0
2026-03-24,-1500.0
2026-03-25,1500.0
2026-03-26,0.0
2026-03-27,500.0
2026-03-30,-3000.0
2026-03-31,1000.0
2026-04-01,-16000.0
2026-04-02,4000.0
2026-04-06,1500.0
2026-04-07,756.0
2026-04-08,1244.0
2026-04-09,1000.0
2026-04-10,500.0
2026-04-13,500.0
2026-04-14,-1500.0
2026-04-15,2500.0
2026-04-16,-162.0
2026-04-17,7298.0
2026-04-20,-7136.0
2026-04-21,-1500.0
2026-04-22,5500.0
2026-04-23,500.0
2026-04-24,2000.0
2026-04-27,500.0
2026-04-28,-3849.0
2026-04-29,-351.0
2026-04-30,-200.0
2026-05-01,-5100.0
2026-05-04,3000.0
2026-05-05,9000.0
2026-05-06,3000.0
2026-05-07,4000.0
2026-05-08,-1000.0
2026-05-11,-3050.0
2026-05-12,2050.0
2026-05-13,-2596.0
2026-05-14,4596.0
2026-05-15,2000.0
2026-05-19,-3000.0
2026-05-20,-4000.0
2026-05-21,1000.0
2026-05-22,-3354.0
2026-05-25,-907.0
2026-05-26,3511.0
2026-05-27,-4850.0
2026-05-28,-2600.0
2026-05-29,5800.0
2026-06-01,-14100.0
2026-06-02,3500.0
2026-06-03,7000.0
2026-06-04,2974.0
2026-06-05,-2974.0
2026-06-08,1000.0
2026-06-09,-1000.0
2026-06-10,-2000.0
2026-06-11,-1500.0
2026-06-12,6500.0
2026-06-15,4000.0
2026-06-16,-4000.0
2026-06-17,1000.0
2026-06-18,-6000.0
2026-06-19,-4500.0
2026-06-22,-1500.0
2026-06-23,4500.0
2026-06-24,-2000.0
2026-06-25,-2000.0
2026-06-26,-500.0
2026-06-29,0.0
2026-06-30,0.0
2026-07-02,-4000.0
2026-07-03,4600.0
2026-07-06,11850.0
2026-07-07,1800.0
2026-07-08,-2250.0
2026-07-09,447.0
2026-07-10,553.0
2026-07-13,164.0
2026-07-14,-1299.0
2026-07-15,1635.0
2026-07-16,-6500.0
2026-07-17,5000.0
2026-07-20,-7500.0
2026-07-21,-1500.0
2026-07-22,4581.0
2026-07-23,2739.0
2026-07-24,-1420.0
2026-07-27,2900.0
2026-07-28,1150.0
2026-07-29,-2500.0
2026-07-30,-2450.0
2026-07-31,5800.0
2026-08-04,-12000.0
2026-08-05,3200.0
2026-08-06,4000.0
2026-08-07,6000.0
2026-08-10,4000.0
2026-08-11,0.0
2026-08-12,-3000.0
2026-08-13,1950.0
2026-08-14,935.0
2026-08-17,-1885.0
2026-08-18,-1351.0
2026-08-19,-4224.0
2026-08-20,-1044.0
2026-08-21,-381.0
2026-08-24,2000.0
2026-08-25,1000.0
2026-08-26,-1000.0
2026-08-27,1000.0
2026-08-28,-2000.0
2026-08-31,3000.0
2026-09-01,-17000.0
2026-09-02,1000.0
2026-09-03,6000.0
2026-09-04,8000.0
2026-09-08,500.0
2026-09-09,-12000.0
2026-09-10,3500.0
